Fecha (dd/mm/aaaa) ,Clasificación de la Entidad,Clase de Cuenta,Orden,Cuenta,Tasa (%),Monto (COP)
06/06/2008,Total establecimientos,CDT,113,A 360 días,8.06675735242969,5437.24023
06/09/2008,Total establecimientos,CDT,107,A 90 días,9.42263769427942,113508.78456
06/09/2008,Total establecimientos,CDT,111,A 180 días,9.67267168259234,78024.56439
06/09/2008,Total establecimientos,CDT,113,A 360 días,10.1594259198769,50638.18365
06/10/2008,Total establecimientos,CDT,107,A 90 días,9.76585306969819,112347.08945
06/10/2008,Total establecimientos,CDT,111,A 180 días,10.2972775924831,99129.57646
06/10/2008,Total establecimientos,CDT,113,A 360 días,8.33740106581676,5466.70922
06/11/2008,Total establecimientos,CDT,107,A 90 días,10.1543171782509,175678.20369
06/11/2008,Total establecimientos,CDT,111,A 180 días,10.3419113682615,136772.70364
06/11/2008,Total establecimientos,CDT,113,A 360 días,8.37222170802509,6695.1785
06/12/2008,Total establecimientos,CDT,107,A 90 días,10.0846224282895,162068.71158
06/12/2008,Total establecimientos,CDT,111,A 180 días,10.2116435836192,123450.47443
06/12/2008,Total establecimientos,CDT,113,A 360 días,9.73004491688712,12615.27922
06/13/2008,Total establecimientos,CDT,107,A 90 días,9.56483085613665,84299.68423
06/13/2008,Total establecimientos,CDT,111,A 180 días,9.30535725663946,37289.96813
06/13/2008,Total establecimientos,CDT,113,A 360 días,8.69370638111185,8391.784
06/16/2008,Total establecimientos,CDT,107,A 90 días,10.0051840118539,223624.09776
06/16/2008,Total establecimientos,CDT,111,A 180 días,9.49956184170789,76543.42005
06/16/2008,Total establecimientos,CDT,113,A 360 días,9.17604433204967,16191.53443
06/17/2008,Total establecimientos,CDT,107,A 90 días,9.90995719451795,132990.72156
06/17/2008,Total establecimientos,CDT,111,A 180 días,10.3775333278236,156127.53788
06/17/2008,Total establecimientos,CDT,113,A 360 días,8.47651986225829,6189.02102
06/18/2008,Total establecimientos,CDT,107,A 90 días,9.82152943352509,145102.27016
