DIRECTORIO,REGION,DPTO_CAUCA,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P
112369,2,,1,1,1,1,1,1,2,1,3,1,1,1327.073834
112370,2,,1,1,1,1,1,1,2,1,3,1,1,622.89750737
112371,2,,1,1,1,1,1,1,1,1,3,1,1,702.70026124
112372,2,,1,1,1,1,1,1,1,1,3,1,1,1004.892877
112373,2,,1,1,2,1,1,1,1,1,3,1,1,1343.4286444
112374,2,,1,1,1,1,1,1,1,1,3,1,1,1820.3659291
112375,2,,1,1,1,1,1,1,1,1,3,1,1,1044.9276446
112376,2,,1,1,3,1,1,1,1,1,3,1,1,455.09148228
112377,2,,1,1,1,1,1,1,1,1,3,1,1,1601.360392
112378,2,,1,1,1,1,1,1,1,1,3,1,1,1384.9545013
112379,2,,1,1,1,2,,2,2,2,,2,1,484.12869893
112380,2,,1,1,4,2,,2,2,2,,2,1,596.62255531
112381,3,,1,1,2,1,1,1,1,1,3,1,1,1307.6416625
112382,3,,1,1,2,1,2,1,1,1,2,1,1,631.34528641
112383,3,,1,1,1,1,3,1,1,1,3,1,1,258.45705423
112384,3,,1,1,2,1,3,1,1,1,3,1,1,336.57742941
112385,3,,1,1,2,1,3,1,1,1,3,1,1,536.96114784
112386,3,,1,1,3,1,2,1,1,1,3,1,2,276.04083254
112387,3,,1,1,1,1,3,1,1,1,3,1,1,391.53141426
112388,3,,1,1,1,1,3,1,1,1,3,1,1,391.53141426
112389,3,,1,1,2,1,3,1,1,1,3,1,1,489.39759185
112390,3,,1,1,2,1,3,1,1,1,3,1,1,229.05026088
112391,3,,1,1,2,1,3,1,1,1,3,1,1,1177.9585181
112392,3,,1,1,1,1,2,1,1,1,3,1,2,4875.4311117
112393,3,,1,1,1,1,2,2,1,1,3,1,1,3041.5924682
112394,3,,1,1,2,1,3,1,1,1,3,1,1,309.18552794
112396,3,,1,1,1,1,3,1,1,1,2,1,1,319.88015157
112397,3,,1,1,1,1,3,1,1,1,3,1,1,319.88015157
112398,3,,1,1,1,1,3,1,1,1,3,1,1,823.70675621
112399,3,,1,1,1,1,3,1,1,1,3,1,1,1082.293741
112400,3,,1,1,1,1,3,1,1,1,3,1,1,823.70675621
112401,4,,1,1,1,1,2,1,1,1,3,1,1,932.9969779
112402,4,,1,1,1,1,1,1,1,1,3,1,1,811.91750823
112403,4,,1,1,1,1,1,2,1,1,3,1,1,804.11401501
112404,4,,1,1,1,1,1,1,1,1,3,1,1,1007.4373288
112405,4,,1,1,2,1,1,1,1,1,2,1,1,1106.9036095
112406,4,,1,1,1,1,2,1,1,1,3,1,1,978.0206466
112407,4,,1,1,1,1,1,1,1,1,3,1,1,569.50299924
112408,4,,1,1,2,1,0,1,1,1,2,1,1,940.80047112
112409,4,,1,1,1,1,2,1,1,1,3,1,1,723.26448668
112410,4,,1,1,2,1,1,2,1,1,2,1,1,862.40043186
112411,4,,1,1,1,1,2,1,1,1,3,1,1,923.48421811
112412,4,,1,1,1,1,1,1,1,1,2,1,1,583.6077285
112413,4,,1,1,2,1,2,1,1,1,2,1,1,896.51892605
112414,4,,1,1,1,1,2,1,1,1,2,1,1,862.40043186
112415,4,,1,1,1,1,1,1,1,1,2,1,1,640.18713196
112416,4,,1,1,1,1,2,1,1,1,3,1,1,778.37621006
112417,4,,1,1,1,1,2,1,1,1,3,1,1,1402.2236508
112418,4,,1,1,1,1,1,1,2,1,2,1,1,1429.1870224
