Orden,Cuentas,Valor,Unidad de medida y moneda,Fecha (Año),Estados de la informacion,Periodicidad,Trimestre
1,    1 Cuenta corriente,-2295.19974,Millones - Dólares estadounidenses corrientes,2020,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,-1962.071266,Millones - Dólares estadounidenses corrientes,2020,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,-2012.545351,Millones - Dólares estadounidenses corrientes,2020,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,-2996.99713,Millones - Dólares estadounidenses corrientes,2020,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,-17949.402946,Millones - Dólares estadounidenses corrientes,2021,Dato revisado,Anual,
1,    1 Cuenta corriente,-3105.09331,Millones - Dólares estadounidenses corrientes,2021,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,-4047.233442,Millones - Dólares estadounidenses corrientes,2021,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,-4834.834514,Millones - Dólares estadounidenses corrientes,2021,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,-5962.24168,Millones - Dólares estadounidenses corrientes,2021,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,-20852.670458,Millones - Dólares estadounidenses corrientes,2022,Dato revisado,Anual,
1,    1 Cuenta corriente,-5390.79772,Millones - Dólares estadounidenses corrientes,2022,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,-4751.790868,Millones - Dólares estadounidenses corrientes,2022,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,-6100.382868,Millones - Dólares estadounidenses corrientes,2022,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,-4609.699002,Millones - Dólares estadounidenses corrientes,2022,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,-8283.169607,Millones - Dólares estadounidenses corrientes,2023,Dato provisional,Anual,
1,    1 Cuenta corriente,-2798.43127,Millones - Dólares estadounidenses corrientes,2023,Dato provisional,Trimestral,Q1
1,    1 Cuenta corriente,-2071.960829,Millones - Dólares estadounidenses corrientes,2023,Dato provisional,Trimestral,Q2
1,    1 Cuenta corriente,-1532.979801,Millones - Dólares estadounidenses corrientes,2023,Dato provisional,Trimestral,Q3
1,    1 Cuenta corriente,-1879.797707,Millones - Dólares estadounidenses corrientes,2023,Dato provisional,Trimestral,Q4
1,    1 Cuenta corriente,-6880.11473,Millones - Dólares estadounidenses corrientes,2024,Dato provisional,Anual,
1,    1 Cuenta corriente,-1591.028445,Millones - Dólares estadounidenses corrientes,2024,Dato provisional,Trimestral,Q1
1,    1 Cuenta corriente,-1406.873415,Millones - Dólares estadounidenses corrientes,2024,Dato provisional,Trimestral,Q2
